video,block,fingerprint,processing_seconds
ashley_3am_dl.mp4,50,"-322.973602,133.279312,-8.347691,24.978148,3.455135,-1.409989,-24.914396,-25.785692,-9.589919,-15.815701,-8.216790,-7.119361,-5.637000,4.074034,-3.819572,-4.914137,2.487347,-5.592088,-12.247844,-6.048048",12.972
ashley_3am_dl.mp4,51,"-332.266205,174.016296,-8.467440,1.773386,4.403370,-3.235703,-21.528383,-22.105890,-16.712877,-15.994495,-8.690056,-10.171947,-6.344610,0.875136,-7.054709,-5.951050,6.018126,-2.769456,-13.338956,-9.779746",12.972
ashley_3am_dl.mp4,52,"-402.524200,149.588181,-14.135762,33.531639,-9.544440,27.769627,-25.913969,7.155617,-18.205864,7.679007,-12.088007,8.769114,-0.931790,5.143313,0.627916,-2.432037,1.845737,-3.189431,2.283705,-10.470567",12.972
ashley_3am_dl.mp4,53,"-394.451385,108.081558,-33.455032,24.639772,-17.725254,17.719408,-20.379164,10.092356,-13.830990,9.671404,-9.419096,1.533513,-6.010890,5.598769,1.639172,-1.388531,2.524000,-2.686223,3.321646,-7.506484",12.972
ashley_3am_dl.mp4,54,"-490.448059,118.700119,-28.755449,43.493992,-28.175459,30.363104,-26.791546,25.650654,-16.859905,18.764824,-13.998169,11.166703,-7.285048,8.993032,-0.188262,1.441546,1.031303,-4.979220,3.032734,-9.336174",12.972
ashley_3am_dl.mp4,55,"-490.172913,106.389870,-14.290930,36.204063,-7.117109,25.976692,-14.093098,12.963526,-15.212093,9.525686,-10.421137,5.880336,-1.394762,6.775325,2.092017,1.877506,2.981147,-4.705751,1.143282,-7.935472",12.972
ashley_3am_dl.mp4,56,"-502.627960,97.202766,-15.605073,51.389137,-15.573903,34.735554,-17.320646,23.855915,-17.555506,15.969063,-12.859668,9.308164,-5.928738,8.903186,0.746850,1.946931,1.412492,-7.266551,1.602204,-9.326285",12.972
ashley_3am_dl.mp4,57,"-469.308319,101.067886,-30.170116,38.778248,-12.606767,35.408798,-17.929569,16.524496,-15.106702,8.640261,-15.053285,6.051787,-6.667915,4.627203,-0.081749,-0.216883,4.436336,-4.698044,0.767636,-5.655032",12.972
ashley_3am_dl.mp4,58,"-491.805237,104.184639,-20.036760,42.173477,-12.223145,26.776474,-18.483130,12.869951,-14.314250,9.604611,-14.765274,3.988505,-3.255858,4.903490,0.158870,1.729892,3.889007,-3.080826,1.698445,-6.841124",12.972
ashley_3am_dl.mp4,59,"-456.737549,131.335114,-40.701950,38.579212,-19.093142,23.214682,-27.018217,16.554728,-16.457411,14.558398,-15.468622,6.535148,-4.798293,2.457787,-1.363176,4.022227,4.533527,-9.958986,2.307381,-7.094344",12.972
ashley_3am_dl.mp4,60,"-475.620972,123.299118,-26.039927,53.900391,-25.139826,33.707119,-25.031952,24.710020,-17.345812,19.702452,-13.828394,9.137472,-9.470680,6.034780,-3.502929,-0.513429,1.701265,-5.984485,4.241108,-9.298380",12.972
